Study_Key,taxasizegroupbroad,ecoregion.x,Species,groupPOO,richness,bodysizegroups,Year,MartenSpecies,Type,Sample.Size,Sample.Type,State_Province,Season,Lat,Long,Full.citation,ecoregion.y,aveelev,geometry,shannon,
Gordon_1986,Mammals,Northwestern Forested Mountains,Pacific marten,84.18259023,7,3,1986,Pacific marten,Stomach,47,Stomach,Colorado,Winter,40.7057,-105.6694,"Gordon, C.C., 1986. Winter food habits of the pine marten in Colorado. The Great Basin Naturalist, pp.166-168.",Northwestern Forested Mountains,2820.539514,c(-105.6694, 40.7057),1.367340396
Gosse_2005,Birds,Northern Forests,American marten,7.407407407,1,1,2005,American marten,"Fecal sort, stomach",704,"Scat, stomach",Newfoundland,All,48.6333,-57.8333,"Gosse, J.W. and Hearn, B.J., 2005. Seasonal diets of Newfoundland martens, Martes americana atrata. The Canadian Field-Naturalist, 119(1), pp.43-47.",Northern Forests,336.2701987,c(-57.8333, 48.6333),1.05055788
Gosse_2005,Mammals,Northern Forests,American marten,83.16498316,5,3,2005,American marten,"Fecal sort, stomach",704,"Scat, stomach",Newfoundland,All,48.6333,-57.8333,"Gosse, J.W. and Hearn, B.J., 2005. Seasonal diets of Newfoundland martens, Martes americana atrata. The Canadian Field-Naturalist, 119(1), pp.43-47.",Northern Forests,336.2701987,c(-57.8333, 48.6333),1.05055788
Hales_2008,Birds,Northern Forests,American marten,4.608853851,1,1,2008,American marten,Stomach,151,Stomach,Michigan,Winter,45.75,-84.25,"Hales, A.L., Belant, J.L. and Bird, J., 2008. Effects of Sex and Age on Winter Diet of American Martens in Michigan. Ohio Journal of Science, 108(4).",Northern Forests,175.1208714,c(-84.25, 45.75),1.871594903
Hales_2008,Mammals,Northern Forests,American marten,95.1788963,9,3,2008,American marten,Stomach,151,Stomach,Michigan,Winter,45.75,-84.25,"Hales, A.L., Belant, J.L. and Bird, J., 2008. Effects of Sex and Age on Winter Diet of American Martens in Michigan. Ohio Journal of Science, 108(4).",Northern Forests,175.1208714,c(-84.25, 45.75),1.871594903
Hargis_1984,Birds,Northwestern Forested Mountains,Pacific marten,13.4502924,1,1,1984,Pacific marten,Fecal sort,91,Scat,California,Winter,37.8721,-119.3476,"Hargis, C.D. and McCullough, D.R., 1984. Winter diet and habitat selection of marten in Yosemite National Park. The Journal of wildlife management, pp.140-146.",Northwestern Forested Mountains,2951.925278,c(-119.3476, 37.8721),1.686609781
Hargis_1984,Fishes,Northwestern Forested Mountains,Pacific marten,2.923976608,1,1,1984,Pacific marten,Fecal sort,91,Scat,California,Winter,37.8721,-119.3476,"Hargis, C.D. and McCullough, D.R., 1984. Winter diet and habitat selection of marten in Yosemite National Park. The Journal of wildlife management, pp.140-146.",Northwestern Forested Mountains,2951.925278,c(-119.3476, 37.8721),1.686609781
Hargis_1984,Mammals,Northwestern Forested Mountains,Pacific marten,69.59064327,11,3,1984,Pacific marten,Fecal sort,91,Scat,California,Winter,37.8721,-119.3476,"Hargis, C.D. and McCullough, D.R., 1984. Winter diet and habitat selection of marten in Yosemite National Park. The Journal of wildlife management, pp.140-146.",Northwestern Forested Mountains,2951.925278,c(-119.3476, 37.8721),1.686609781
Koehler_1977,Birds,Northwestern Forested Mountains,Hybrid zone,3.333333333,1,1,1977,Hybrid zone,Fecal sort,129,Scat,Idaho,"Summer, winter",46.2758,-115.0777,"Koehler, G.M. and Hornocker, M.G., 1977. Fire effects on marten habitat in the Selway-Bitterroot Wilderness. The Journal of Wildlife Management, pp.500-505.",Northwestern Forested Mountains,1799.768966,c(-115.0777, 46.2758),1.640255865
Koehler_1977,Mammals,Northwestern Forested Mountains,Hybrid zone,78.66666667,9,2,1977,Hybrid zone,Fecal sort,129,Scat,Idaho,"Summer, winter",46.2758,-115.0777,"Koehler, G.M. and Hornocker, M.G., 1977. Fire effects on marten habitat in the Selway-Bitterroot Wilderness. The Journal of Wildlife Management, pp.500-505.",Northwestern Forested Mountains,1799.768966,c(-115.0777, 46.2758),1.640255865
Kujawa_2014,Birds,Northern Forests,American marten,8.243727599,1,1,2014,American marten,Fecal sort,22,Scat,Michigan,Summer,44.285,-85.8749,"Kujawa, A., Keenlance, P. and Jacquot, J., 2014. Diet of Kit-rearing female martens in northern Michigan.",Northern Forests,270.6133429,c(-85.8749, 44.285),1.661342453
Kujawa_2014,Mammals,Northern Forests,American marten,60.5734767,8,1,2014,American marten,Fecal sort,22,Scat,Michigan,Summer,44.285,-85.8749,"Kujawa, A., Keenlance, P. and Jacquot, J., 2014. Diet of Kit-rearing female martens in northern Michigan.",Northern Forests,270.6133429,c(-85.8749, 44.285),1.661342453
Kujawa_2014,Reptiles,Northern Forests,American marten,1.792114695,1,1,2014,American marten,Fecal sort,22,Scat,Michigan,Summer,44.285,-85.8749,"Kujawa, A., Keenlance, P. and Jacquot, J., 2014. Diet of Kit-rearing female martens in northern Michigan.",Northern Forests,270.6133429,c(-85.8749, 44.285),1.661342453
Lensink_1955,Birds,Taiga,American marten,9.039548023,1,1,1955,American marten,"Fecal sort, stomach",466,"Scat, stomach",Alaska,All,63.7723,-125.4336,"Lensink, C.J., Skoog, R.O. and Buckley, J.L., 1955. Food habits of marten in interior Alaska and their significance. The Journal of Wildlife Management, 19(3), pp.364-368.",Taiga,683.1118012,c(-125.4336, 63.7723),0
Lensink_1955,Mammals,Taiga,American marten,72.63922518,1,1,1955,American marten,"Fecal sort, stomach",466,"Scat, stomach",Alaska,All,63.7723,-125.4336,"Lensink, C.J., Skoog, R.O. and Buckley, J.L., 1955. Food habits of marten in interior Alaska and their significance. The Journal of Wildlife Management, 19(3), pp.364-368.",Taiga,683.1118012,c(-125.4336, 63.7723),0
Marshall_1946,Birds,Northwestern Forested Mountains,Hybrid zone,7.853403141,1,1,1946,Hybrid zone,Fecal sort,64,Scat,Montana,Winter,48.7567,-114.4262,"Marshall, W.H., 1946. Winter food habits of the pine marten in Montana. Journal of Mammalogy, 27(1), pp.83-84.",Northwestern Forested Mountains,1611.303571,c(-114.4262, 48.7567),1.441714212
Marshall_1946,Mammals,Northwestern Forested Mountains,Hybrid zone,90.57591623,5,3,1946,Hybrid zone,Fecal sort,64,Scat,Montana,Winter,48.7567,-114.4262,"Marshall, W.H., 1946. Winter food habits of the pine marten in Montana. Journal of Mammalogy, 27(1), pp.83-84.",Northwestern Forested Mountains,1611.303571,c(-114.4262, 48.7567),1.441714212
Martin_1987,Mammals,Northwestern Forested Mountains,Pacific marten,58.97887324,7,2,1987,Pacific marten,Fecal sort,100,Scat,California,All,39.4368,-120.2646,"Martin, S.K., 1987. The ecology of the pine marten (Martes americana) at Sagehen Creek, California. University of California, Berkeley.",Northwestern Forested Mountains,2086.09409,c(-120.2646, 39.4368),1.697705889
