Study_Key,taxasizegroupbroad,ecoregion.x,Species,groupPOO,richness,bodysizegroups,Year,MartenSpecies,Type,Sample.Size,Sample.Type,State_Province,Season,Lat,Long,Full.citation,ecoregion.y,aveelev,geometry,shannon,
Soutiere_1979,Birds,Northern Forests,American marten,12.92175162,1,1,1979,American marten,Fecal sort,412,Scat,Maine,All,45.739674,-69.602308,"Soutiere, E.C., 1979. Effects of timber harvesting on marten in Maine. The Journal of Wildlife Management, pp.850-860.",Northern Forests,364.8458304,c(-69.602308, 45.739674),1.570271245
Soutiere_1979,Mammals,Northern Forests,American marten,73.51040919,10,3,1979,American marten,Fecal sort,412,Scat,Maine,All,45.739674,-69.602308,"Soutiere, E.C., 1979. Effects of timber harvesting on marten in Maine. The Journal of Wildlife Management, pp.850-860.",Northern Forests,364.8458304,c(-69.602308, 45.739674),1.570271245
Thompson_1990,Mammals,Northern Forests,American marten,82.45098039,8,2,1990,American marten,"Fecal sort, stomach",1028,"Scat, stomach",Ontario,All,49.25,-85.583333,"Thompson, I.D. and Colgan, P.W., 1990. Prey choice by marten during a decline in prey abundance. Oecologia, 83(4), pp.443-451.",Northern Forests,361.2568627,c(-85.583333, 49.25),1.615557813
Tucker_1988,Birds,Northern Forests,American marten,4.918032787,1,1,1988,American marten,Fecal sort,194,Scat,Newfoundland,All,48.704037,-57.955159,"Tucker, B., 1988. The effects of forest harvesting on small mammals in western Newfoundland and its significance to marten.",Northern Forests,337.493051,c(-57.955159, 48.704037),0.655030161
Tucker_1988,Mammals,Northern Forests,American marten,75.68306011,3,1,1988,American marten,Fecal sort,194,Scat,Newfoundland,All,48.704037,-57.955159,"Tucker, B., 1988. The effects of forest harvesting on small mammals in western Newfoundland and its significance to marten.",Northern Forests,337.493051,c(-57.955159, 48.704037),0.655030161
Weckwerth_1962,Birds,Northwestern Forested Mountains,Hybrid zone,4.752667313,1,1,1962,Hybrid zone,Fecal sort,1758,Scat,Montana,"Spring, summer, winter",48.699967,-114.079065,"Weckwerth, R.P. and Hawley, V.D., 1962. Marten food habits and population fluctuations in Montana. The Journal of Wildlife Management, 26(1), pp.55-74.",Northwestern Forested Mountains,1339.401851,c(-114.079065, 48.699967),1.968387729
Weckwerth_1962,Mammals,Northwestern Forested Mountains,Hybrid zone,61.39670223,14,4,1962,Hybrid zone,Fecal sort,1758,Scat,Montana,"Spring, summer, winter",48.699967,-114.079065,"Weckwerth, R.P. and Hawley, V.D., 1962. Marten food habits and population fluctuations in Montana. The Journal of Wildlife Management, 26(1), pp.55-74.",Northwestern Forested Mountains,1339.401851,c(-114.079065, 48.699967),1.968387729
Wilk_2017,Birds,Northwestern Forested Mountains,Pacific marten,8.943716268,1,1,2017,Pacific marten,Fecal sort,250,Scat,Oregon,"Summer, winter",42.929,-121.153,"Wilk, R.J. and Raphael, M.G., 2017. Food habits of Pacific Marten from scats in south-central Oregon. Northwestern Naturalist, 98(3), pp.243-250.",Northwestern Forested Mountains,1652.674725,c(-121.153, 42.929),1.273648048
Wilk_2017,Mammals,Northwestern Forested Mountains,Pacific marten,65.53585197,11,2,2017,Pacific marten,Fecal sort,250,Scat,Oregon,"Summer, winter",42.929,-121.153,"Wilk, R.J. and Raphael, M.G., 2017. Food habits of Pacific Marten from scats in south-central Oregon. Northwestern Naturalist, 98(3), pp.243-250.",Northwestern Forested Mountains,1652.674725,c(-121.153, 42.929),1.273648048
Zielinski_1983,Birds,Northwestern Forested Mountains,Pacific marten,8.738828203,1,1,1983,Pacific marten,Fecal sort,300,Scat,California,All,39.436291,-120.255707,"Zielinski, W.J., Spencer, W.D. and Barrett, R.H., 1983. Relationship between food habits and activity patterns of pine martens. Journal of Mammalogy, 64(3), pp.387-396.",Northwestern Forested Mountains,2067.826998,c(-120.255707, 39.436291),2.139573681
Zielinski_1983,Mammals,Northwestern Forested Mountains,Pacific marten,60.37735849,12,3,1983,Pacific marten,Fecal sort,300,Scat,California,All,39.436291,-120.255707,"Zielinski, W.J., Spencer, W.D. and Barrett, R.H., 1983. Relationship between food habits and activity patterns of pine martens. Journal of Mammalogy, 64(3), pp.387-396.",Northwestern Forested Mountains,2067.826998,c(-120.255707, 39.436291),2.139573681
Zielinski_2004,Birds,Northwestern Forested Mountains,Pacific marten,9.042553191,1,1,2004,Pacific marten,Fecal sort,150,Scat,California,All,36.208249,-118.71078,"Zielinski, W.J. and Duncan, N.P., 2004. Diets of sympatric populations of American martens (Martes americana) and fishers (Martes pennanti) in California. Journal of Mammalogy, 85(3), pp.470-477.",Northwestern Forested Mountains,1407.929725,c(-118.71078, 36.208249),1.239572392
Zielinski_2004,Mammals,Northwestern Forested Mountains,Pacific marten,27.07930368,9,2,2004,Pacific marten,Fecal sort,150,Scat,California,All,36.208249,-118.71078,"Zielinski, W.J. and Duncan, N.P., 2004. Diets of sympatric populations of American martens (Martes americana) and fishers (Martes pennanti) in California. Journal of Mammalogy, 85(3), pp.470-477.",Northwestern Forested Mountains,1407.929725,c(-118.71078, 36.208249),1.239572392
Zielinski_2004,Reptiles,Northwestern Forested Mountains,Pacific marten,2.272727273,1,1,2004,Pacific marten,Fecal sort,150,Scat,California,All,36.208249,-118.71078,"Zielinski, W.J. and Duncan, N.P., 2004. Diets of sympatric populations of American martens (Martes americana) and fishers (Martes pennanti) in California. Journal of Mammalogy, 85(3), pp.470-477.",Northwestern Forested Mountains,1407.929725,c(-118.71078, 36.208249),1.239572392
